Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time,Train_F1,Dev_F1,Test_F1
0,andneuron_prod-probsum,2,all,0.2,0.2,0.2,80,20,50,70,plus,0.504,0.514,0.462,5479.235059499741,0.373,0.377,0.338
0,andneuron_prod-probsum,2,all,0.2,0.2,0.5,80,20,50,70,plus,0.455,0.479,0.41,4113.216408729553,0.341,0.355,0.307
0,andneuron_prod-probsum,2,all,0.2,0.2,0.8,80,20,50,70,plus,0.49,0.507,0.443,4433.96183347702,0.365,0.373,0.324
0,andneuron_prod-probsum,2,all,0.2,0.5,0.2,80,20,50,70,plus,0.49,0.521,0.466,5468.773592233658,0.363,0.384,0.346
0,andneuron_prod-probsum,2,all,0.2,0.5,0.5,80,20,50,70,plus,0.508,0.514,0.459,5473.802565574646,0.376,0.377,0.335
0,andneuron_prod-probsum,2,all,0.2,0.5,0.8,80,20,50,70,plus,0.483,0.507,0.433,4473.236085176468,0.362,0.381,0.324
0,andneuron_prod-probsum,2,all,0.2,0.8,0.2,80,20,50,70,plus,0.481,0.5,0.452,5138.285466432571,0.354,0.364,0.334
0,andneuron_prod-probsum,2,all,0.2,0.8,0.5,80,20,50,70,plus,0.492,0.528,0.479,5129.84814119339,0.366,0.393,0.358
0,andneuron_prod-probsum,2,all,0.2,0.8,0.8,80,20,50,70,plus,0.499,0.521,0.462,4282.832123756409,0.375,0.389,0.348
0,andneuron_prod-probsum,2,all,0.5,0.2,0.2,80,20,50,70,plus,0.522,0.507,0.482,5942.135114192963,0.382,0.373,0.355
0,andneuron_prod-probsum,2,all,0.5,0.2,0.5,80,20,50,70,plus,0.496,0.507,0.472,6264.712447881699,0.372,0.376,0.355
0,andneuron_prod-probsum,2,all,0.5,0.2,0.8,80,20,50,70,plus,0.497,0.521,0.462,5804.067427635193,0.375,0.39,0.349
0,andneuron_prod-probsum,2,all,0.5,0.5,0.2,80,20,50,70,plus,0.494,0.486,0.446,6285.572085857391,0.375,0.372,0.338
0,andneuron_prod-probsum,2,all,0.5,0.5,0.5,80,20,50,70,plus,0.481,0.486,0.452,6264.478754997253,0.363,0.363,0.342
0,andneuron_prod-probsum,2,all,0.5,0.5,0.8,80,20,50,70,plus,0.462,0.486,0.436,4267.271394491196,0.335,0.353,0.309
0,andneuron_prod-probsum,2,all,0.5,0.8,0.2,80,20,50,70,plus,0.473,0.514,0.475,6148.532110691071,0.344,0.382,0.352
0,andneuron_prod-probsum,2,all,0.5,0.8,0.5,80,20,50,70,plus,0.49,0.493,0.446,5967.076652288437,0.362,0.361,0.326
0,andneuron_prod-probsum,2,all,0.5,0.8,0.8,80,20,50,70,plus,0.425,0.493,0.393,4105.179197788239,0.321,0.373,0.295
0,andneuron_prod-probsum,2,all,0.8,0.2,0.2,80,20,50,70,plus,0.436,0.486,0.436,4274.609486103058,0.329,0.368,0.329
0,andneuron_prod-probsum,2,all,0.8,0.2,0.5,80,20,50,70,plus,0.487,0.514,0.446,4790.15549325943,0.359,0.372,0.326
0,andneuron_prod-probsum,2,all,0.8,0.2,0.8,80,20,50,70,plus,0.487,0.5,0.479,4473.737500429153,0.365,0.373,0.358
0,andneuron_prod-probsum,2,all,0.8,0.5,0.2,80,20,50,70,plus,0.481,0.486,0.446,4793.991644859314,0.344,0.351,0.316
0,andneuron_prod-probsum,2,all,0.8,0.5,0.5,80,20,50,70,plus,0.481,0.493,0.456,4934.437095880508,0.359,0.362,0.337
0,andneuron_prod-probsum,2,all,0.8,0.5,0.8,80,20,50,70,plus,0.46,0.479,0.42,4005.68564248085,0.32,0.335,0.282
0,andneuron_prod-probsum,2,all,0.8,0.8,0.2,80,20,50,70,plus,0.496,0.521,0.462,6296.208972454071,0.369,0.388,0.345
0,andneuron_prod-probsum,2,all,0.8,0.8,0.5,80,20,50,70,plus,0.529,0.514,0.482,9149.11312508583,0.386,0.374,0.352
0,andneuron_prod-probsum,2,all,0.8,0.8,0.8,80,20,50,70,plus,0.485,0.514,0.462,3677.656637191773,0.342,0.364,0.33
0,andneuron_prod-probsum,3,all,0.2,0.2,0.2,80,20,50,70,plus,0.473,0.5,0.416,47491.46282577515,0.334,0.354,0.287
0,andneuron_prod-probsum,3,all,0.2,0.2,0.5,80,20,50,70,plus,0.527,0.521,0.466,76927.411870718,0.384,0.379,0.333
0,andneuron_prod-probsum,3,all,0.2,0.2,0.8,80,20,50,70,plus,0.487,0.57,0.446,47420.26679253578,0.361,0.429,0.325
0,andneuron_prod-probsum,3,all,0.2,0.5,0.2,80,20,50,70,plus,0.501,0.507,0.443,66233.90178060532,0.358,0.359,0.31
0,andneuron_prod-probsum,3,all,0.2,0.5,0.5,80,20,50,70,plus,0.487,0.5,0.433,47474.342631578445,0.34,0.35,0.294
0,andneuron_prod-probsum,3,all,0.2,0.5,0.8,80,20,50,70,plus,0.513,0.535,0.466,57691.06237339973,0.384,0.396,0.343
0,andneuron_prod-probsum,3,all,0.2,0.8,0.2,80,20,50,70,plus,0.481,0.521,0.443,64656.5076687336,0.341,0.373,0.307
0,andneuron_prod-probsum,3,all,0.2,0.8,0.5,80,20,50,70,plus,0.52,0.542,0.485,78863.3326151371,0.383,0.403,0.356
0,andneuron_prod-probsum,3,all,0.2,0.8,0.8,80,20,50,70,plus,0.45,0.5,0.43,42288.332085847855,0.333,0.376,0.317
0,andneuron_prod-probsum,3,all,0.5,0.2,0.2,80,20,50,70,plus,0.494,0.493,0.423,50897.86494064331,0.349,0.341,0.287
0,andneuron_prod-probsum,3,all,0.5,0.2,0.5,80,20,50,70,plus,0.517,0.521,0.466,64345.16309142113,0.385,0.39,0.344
0,andneuron_prod-probsum,3,all,0.5,0.2,0.8,80,20,50,70,plus,0.526,0.542,0.452,73571.42393755913,0.386,0.395,0.326
0,andneuron_prod-probsum,3,all,0.5,0.5,0.2,80,20,50,70,plus,0.492,0.493,0.443,61049.81158685684,0.344,0.342,0.303
0,andneuron_prod-probsum,3,all,0.5,0.5,0.5,80,20,50,70,plus,0.511,0.528,0.472,62877.27671289444,0.381,0.396,0.351
0,andneuron_prod-probsum,3,all,0.5,0.5,0.8,80,20,50,70,plus,0.524,0.521,0.456,89230.59558749199,0.381,0.379,0.322
0,andneuron_prod-probsum,3,all,0.5,0.8,0.2,80,20,50,70,plus,0.503,0.514,0.449,57494.07898855209,0.368,0.379,0.324
0,andneuron_prod-probsum,3,all,0.5,0.8,0.5,80,20,50,70,plus,0.492,0.514,0.443,68450.23066997528,0.352,0.367,0.309
0,andneuron_prod-probsum,3,all,0.5,0.8,0.8,80,20,50,70,plus,0.496,0.542,0.426,66423.38512444496,0.362,0.398,0.307
0,andneuron_prod-probsum,3,all,0.8,0.2,0.2,80,20,50,70,plus,0.494,0.535,0.469,62664.54108262062,0.369,0.403,0.344
0,andneuron_prod-probsum,3,all,0.8,0.2,0.5,80,20,50,70,plus,0.487,0.5,0.43,42120.11228013039,0.336,0.346,0.285
0,andneuron_prod-probsum,3,all,0.8,0.2,0.8,80,20,50,70,plus,0.501,0.563,0.462,46833.48277592659,0.369,0.42,0.338
0,andneuron_prod-probsum,3,all,0.8,0.5,0.2,80,20,50,70,plus,0.496,0.507,0.436,52164.78058934212,0.359,0.369,0.308
0,andneuron_prod-probsum,3,all,0.8,0.5,0.5,80,20,50,70,plus,0.499,0.521,0.439,69586.91103243828,0.367,0.387,0.317
0,andneuron_prod-probsum,3,all,0.8,0.5,0.8,80,20,50,70,plus,0.527,0.556,0.469,62874.460936546326,0.398,0.418,0.35
0,andneuron_prod-probsum,3,all,0.8,0.8,0.2,80,20,50,70,plus,0.48,0.5,0.439,46928.63718271256,0.338,0.35,0.305
0,andneuron_prod-probsum,3,all,0.8,0.8,0.5,80,20,50,70,plus,0.496,0.521,0.472,64792.02541041374,0.366,0.388,0.351
0,andneuron_prod-probsum,3,all,0.8,0.8,0.8,80,20,50,70,plus,0.432,0.521,0.403,40333.09086322784,0.326,0.396,0.303
0,orneuron_probsum-prod,2,all,0.2,0.2,0.2,80,20,50,70,plus,0.459,0.465,0.436,2904.189165353775,0.32,0.326,0.302
0,orneuron_probsum-prod,2,all,0.2,0.2,0.5,80,20,50,70,plus,0.446,0.479,0.43,2689.577534675598,0.286,0.327,0.274
0,orneuron_probsum-prod,2,all,0.2,0.2,0.8,80,20,50,70,plus,0.443,0.458,0.403,2839.090856313705,0.319,0.331,0.294
0,orneuron_probsum-prod,2,all,0.2,0.5,0.2,80,20,50,70,plus,0.476,0.465,0.449,2874.967985868454,0.339,0.326,0.318
0,orneuron_probsum-prod,2,all,0.2,0.5,0.5,80,20,50,70,plus,0.471,0.472,0.446,3289.438136816025,0.338,0.336,0.32
0,orneuron_probsum-prod,2,all,0.2,0.5,0.8,80,20,50,70,plus,0.443,0.486,0.43,3262.472909927368,0.291,0.336,0.288
0,orneuron_probsum-prod,2,all,0.2,0.8,0.2,80,20,50,70,plus,0.462,0.486,0.436,3035.5676662921906,0.317,0.342,0.298
0,orneuron_probsum-prod,2,all,0.2,0.8,0.5,80,20,50,70,plus,0.464,0.472,0.426,3911.96457695961,0.345,0.349,0.318
0,orneuron_probsum-prod,2,all,0.2,0.8,0.8,80,20,50,70,plus,0.489,0.514,0.459,5519.317561388016,0.369,0.389,0.344
0,orneuron_probsum-prod,2,all,0.5,0.2,0.2,80,20,50,70,plus,0.487,0.472,0.462,3700.104518413544,0.353,0.337,0.337
0,orneuron_probsum-prod,2,all,0.5,0.2,0.5,80,20,50,70,plus,0.467,0.507,0.456,3551.8668596744537,0.355,0.384,0.343
0,orneuron_probsum-prod,2,all,0.5,0.2,0.8,80,20,50,70,plus,0.473,0.514,0.462,4110.006645441055,0.336,0.372,0.328
0,orneuron_probsum-prod,2,all,0.5,0.5,0.2,80,20,50,70,plus,0.48,0.472,0.439,3315.443656206131,0.35,0.341,0.323
0,orneuron_probsum-prod,2,all,0.5,0.5,0.5,80,20,50,70,plus,0.422,0.458,0.387,2830.9430632591248,0.3,0.329,0.271
0,orneuron_probsum-prod,2,all,0.5,0.5,0.8,80,20,50,70,plus,0.489,0.507,0.456,4366.037830114365,0.365,0.382,0.34
0,orneuron_probsum-prod,2,all,0.5,0.8,0.2,80,20,50,70,plus,0.439,0.458,0.416,3236.2765007019043,0.292,0.309,0.27
0,orneuron_probsum-prod,2,all,0.5,0.8,0.5,80,20,50,70,plus,0.462,0.458,0.43,3627.2926235198975,0.329,0.318,0.3
0,orneuron_probsum-prod,2,all,0.5,0.8,0.8,80,20,50,70,plus,0.453,0.479,0.433,3355.331848859787,0.338,0.356,0.317
0,orneuron_probsum-prod,2,all,0.8,0.2,0.2,80,20,50,70,plus,0.476,0.479,0.439,3610.2046132087703,0.342,0.344,0.313
0,orneuron_probsum-prod,2,all,0.8,0.2,0.5,80,20,50,70,plus,0.471,0.507,0.449,4079.6147499084473,0.36,0.388,0.343
0,orneuron_probsum-prod,2,all,0.8,0.2,0.8,80,20,50,70,plus,0.487,0.514,0.466,3974.93984746933,0.368,0.385,0.348
0,orneuron_probsum-prod,2,all,0.8,0.5,0.2,80,20,50,70,plus,0.483,0.465,0.443,3391.305674791336,0.356,0.336,0.327
0,orneuron_probsum-prod,2,all,0.8,0.5,0.5,80,20,50,70,plus,0.481,0.472,0.449,4372.453361511231,0.348,0.336,0.328
0,orneuron_probsum-prod,2,all,0.8,0.5,0.8,80,20,50,70,plus,0.496,0.458,0.462,4974.906457424164,0.359,0.32,0.331
0,orneuron_probsum-prod,2,all,0.8,0.8,0.2,80,20,50,70,plus,0.474,0.472,0.443,3495.7814025878906,0.353,0.346,0.33
0,orneuron_probsum-prod,2,all,0.8,0.8,0.5,80,20,50,70,plus,0.432,0.479,0.443,2907.1438064575195,0.299,0.348,0.304
0,orneuron_probsum-prod,2,all,0.8,0.8,0.8,80,20,50,70,plus,0.496,0.486,0.469,5804.164371490479,0.369,0.359,0.353
0,orneuron_probsum-prod,3,all,0.2,0.2,0.2,80,20,50,70,plus,0.487,0.507,0.443,35057.18045926094,0.351,0.373,0.314
0,orneuron_probsum-prod,3,all,0.2,0.2,0.5,80,20,50,70,plus,0.469,0.5,0.416,31018.23851084709,0.329,0.354,0.289
0,orneuron_probsum-prod,3,all,0.2,0.2,0.8,80,20,50,70,plus,0.483,0.507,0.462,38948.11399197578,0.359,0.383,0.342
0,orneuron_probsum-prod,3,all,0.2,0.5,0.2,80,20,50,70,plus,0.494,0.514,0.443,45225.85086584091,0.365,0.386,0.327
0,orneuron_probsum-prod,3,all,0.2,0.5,0.5,80,20,50,70,plus,0.508,0.514,0.462,39983.989187955856,0.368,0.377,0.331
0,orneuron_probsum-prod,3,all,0.2,0.5,0.8,80,20,50,70,plus,0.474,0.493,0.443,39832.07874202728,0.335,0.342,0.309
0,orneuron_probsum-prod,3,all,0.2,0.8,0.2,80,20,50,70,plus,0.478,0.507,0.446,46551.15277123451,0.361,0.385,0.336
0,orneuron_probsum-prod,3,all,0.2,0.8,0.5,80,20,50,70,plus,0.522,0.528,0.492,57275.6902987957,0.388,0.398,0.365
0,orneuron_probsum-prod,3,all,0.2,0.8,0.8,80,20,50,70,plus,0.497,0.521,0.475,55463.34308624268,0.363,0.391,0.346
0,orneuron_probsum-prod,3,all,0.5,0.2,0.2,80,20,50,70,plus,0.443,0.5,0.41,31051.79730796814,0.34,0.382,0.314
0,orneuron_probsum-prod,3,all,0.5,0.2,0.5,80,20,50,70,plus,0.513,0.535,0.459,53039.73539042473,0.376,0.399,0.331
0,orneuron_probsum-prod,3,all,0.5,0.2,0.8,80,20,50,70,plus,0.462,0.507,0.462,32194.77733111381,0.34,0.382,0.341
0,orneuron_probsum-prod,3,all,0.5,0.5,0.2,80,20,50,70,plus,0.464,0.507,0.443,31105.850984811783,0.34,0.377,0.324
0,orneuron_probsum-prod,3,all,0.5,0.5,0.5,80,20,50,70,plus,0.481,0.521,0.452,33075.03510594368,0.353,0.393,0.33
0,orneuron_probsum-prod,3,all,0.5,0.5,0.8,80,20,50,70,plus,0.444,0.514,0.407,30990.9300467968,0.302,0.378,0.272
0,orneuron_probsum-prod,3,all,0.5,0.8,0.2,80,20,50,70,plus,0.487,0.5,0.456,44333.50054597855,0.357,0.373,0.329
0,orneuron_probsum-prod,3,all,0.5,0.8,0.5,80,20,50,70,plus,0.462,0.507,0.42,32796.379385471344,0.335,0.376,0.298
0,orneuron_probsum-prod,3,all,0.5,0.8,0.8,80,20,50,70,plus,0.492,0.514,0.433,33129.25988483429,0.355,0.376,0.302
0,orneuron_probsum-prod,3,all,0.8,0.2,0.2,80,20,50,70,plus,0.459,0.472,0.423,26603.345985889435,0.304,0.318,0.268
0,orneuron_probsum-prod,3,all,0.8,0.2,0.5,80,20,50,70,plus,0.52,0.528,0.452,37550.69395065308,0.383,0.392,0.328
0,orneuron_probsum-prod,3,all,0.8,0.2,0.8,80,20,50,70,plus,0.425,0.451,0.413,24793.082256793976,0.272,0.306,0.266
0,orneuron_probsum-prod,3,all,0.8,0.5,0.2,80,20,50,70,plus,0.489,0.521,0.459,29696.000264406204,0.362,0.392,0.34
0,orneuron_probsum-prod,3,all,0.8,0.5,0.5,80,20,50,70,plus,0.499,0.528,0.462,31143.172512292866,0.373,0.402,0.339
0,orneuron_probsum-prod,3,all,0.8,0.5,0.8,80,20,50,70,plus,0.492,0.535,0.433,27409.36741757393,0.357,0.395,0.308
0,orneuron_probsum-prod,3,all,0.8,0.8,0.2,80,20,50,70,plus,0.466,0.507,0.42,22053.628526210785,0.344,0.379,0.303
0,orneuron_probsum-prod,3,all,0.8,0.8,0.5,80,20,50,70,plus,0.49,0.514,0.436,26976.395973920826,0.364,0.388,0.321
0,orneuron_probsum-prod,3,all,0.8,0.8,0.8,80,20,50,70,plus,0.48,0.507,0.439,25238.86588573456,0.335,0.361,0.298